LURN_SAK,INCIDENT_DATE,INCIDENT_REPORTED_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIP,INCIDENT_ID,REPORTING_DISTRICT,SEQ,GANG_RELATED,UNIT_ID,UNIT_NAME,DELETED
18764963,11/26/18 3:25,11/26/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"12600 PIONEER BLVD, NORWALK, CA  90650",12600 PIONEER BLVD,NORWALK,90650,918-17582-0453,453,17582,NO,CA0190004,NORWALK,N
18466701,1/24/18 14:28,1/24/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"2600 OLIVE ST, LOS ANGELES, CA",2600 OLIVE ST,LOS ANGELES,,918-01248-2178,2178,1248,NO,CA01900V3,CENTURY,N
18458916,1/17/18 8:18,1/17/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"1500 E QUEENSDALE ST, COMPTON, CA",1500 E QUEENSDALE ST,COMPTON,,918-00823-2825,2825,823,NO,CA0190042,COMPTON,N
18663058,8/9/18 15:32,8/9/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"COMPTON AVE AND 58TH DR, LOS ANGELES, CA",COMPTON AVE AND 58TH DR,LOS ANGELES,,918-11527-2171,2171,11527,NO,CA01900V3,CENTURY,N
18669485,8/16/18 13:18,8/16/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"1400 E ALONDRA BLVD, COMPTON, CA  90221",1400 E ALONDRA BLVD,COMPTON,90221,918-11601-2844,2844,11601,NO,CA0190042,COMPTON,N
18458144,1/16/18 13:51,1/16/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"74TH ST AND BELL AVE, LOS ANGELES, CA  90001",74TH ST AND BELL AVE,LOS ANGELES,90001,918-00773-2171,2171,773,NO,CA01900V3,CENTURY,N
18716456,9/30/18 11:20,9/30/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"18400 S AVALON BLVD, CARSON, CA",18400 S AVALON BLVD,CARSON,,918-80070-1612,1612,80070,NO,CA0190016,CARSON,N
18789426,12/22/18 14:30,12/22/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"18400 S AVALON BLVD, CARSON, CA",18400 S AVALON BLVD,CARSON,,918-13404-1612,1612,13404,NO,CA0190016,CARSON,N
18599939,6/4/18 16:49,6/4/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"PIONEER BLVD AND SLAUSON BLVD, WHITTIER, CA",PIONEER BLVD AND SLAUSON BLVD,WHITTIER,,918-03961-1578,1578,3961,NO,CA0190015,PICO RIVERA,N
18463233,1/21/18 9:01,1/21/18,VAGRANCY,221,VAGRANCY: Loitering/Curfew,"POMONA BLVD AND TEMPLE BLVD, POMONA, CA",POMONA BLVD AND TEMPLE BLVD,POMONA,,918-00548-2916,2916,548,NO,CA0190020,WALNUT,N
18758988,11/18/18 13:50,11/18/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"18400 S AVALON BLVD, CARSON, CA",18400 S AVALON BLVD,CARSON,,918-12194-1612,1612,12194,NO,CA0190016,CARSON,N
18523801,3/20/18 14:26,3/20/18,VAGRANCY,222,VAGRANCY/QUALITY OF LIFE:Illegal Vending,"7900 PACIFIC BLVD, HUNTINGTON PARK, CA  90255",7900 PACIFIC BLVD,HUNTINGTON PARK,90255,918-04219-2178,2178,4219,NO,CA01900V3,CENTURY,N
